File	Time (s)	Graph Size	Kernel Size	k	Constraints (total)	Constraints (needed)
../test_instances/final/random_ER/random_10_1_1.dimacs	0.00	10	5	1	405	3
../test_instances/final/random_ER/random_10_2_0.dimacs	0.00	10	0	0	405	0
../test_instances/final/random_ER/random_10_2_1.dimacs	0.01	10	8	2	405	196
../test_instances/final/random_ER/random_10_3_0.dimacs	0.01	10	9	3	405	217
../test_instances/final/random_ER/random_10_3_1.dimacs	0.02	10	9	4	405	288
../test_instances/final/random_ER/random_10_4_0.dimacs	0.02	10	10	3	405	325
../test_instances/final/random_ER/random_10_4_1.dimacs	0.04	10	10	5	405	325
../test_instances/final/random_ER/random_10_5_0.dimacs	0.01	10	10	2	405	405
../test_instances/final/random_ER/random_10_5_1.dimacs	0.17	10	10	6	405	405
../test_instances/final/random_ER/random_10_6_0.dimacs	0.06	10	10	5	405	405
../test_instances/final/random_ER/random_10_6_1.dimacs	0.02	10	10	5	405	405
../test_instances/final/random_ER/random_10_7_0.dimacs	0.02	10	10	4	405	405
../test_instances/final/random_ER/random_10_7_1.dimacs	0.01	10	10	3	405	405
../test_instances/final/random_ER/random_10_8_0.dimacs	0.02	10	10	3	405	405
../test_instances/final/random_ER/random_10_8_1.dimacs	0.01	10	10	1	405	405
../test_instances/final/random_ER/random_10_9_0.dimacs	0.00	10	0	0	405	0
../test_instances/final/random_ER/random_10_9_1.dimacs	0.01	10	10	1	405	405
../test_instances/final/random_ER/random_12_1_0.dimacs	0.00	12	0	0	726	0
../test_instances/final/random_ER/random_12_1_1.dimacs	0.00	12	7	1	726	35
../test_instances/final/random_ER/random_12_2_0.dimacs	0.01	12	9	2	726	75
../test_instances/final/random_ER/random_12_2_1.dimacs	0.01	12	8	3	726	148
../test_instances/final/random_ER/random_12_3_0.dimacs	0.11	12	12	7	726	726
../test_instances/final/random_ER/random_12_3_1.dimacs	0.02	12	11	5	726	362
../test_instances/final/random_ER/random_12_4_0.dimacs	0.20	12	12	9	726	606
../test_instances/final/random_ER/random_12_4_1.dimacs	0.26	12	12	10	726	726
../test_instances/final/random_ER/random_12_5_0.dimacs	0.02	12	12	5	726	726
../test_instances/final/random_ER/random_12_5_1.dimacs	0.18	12	11	7	726	550
../test_instances/final/random_ER/random_12_6_0.dimacs	0.27	12	12	7	726	726
../test_instances/final/random_ER/random_12_6_1.dimacs	0.11	12	12	7	726	606
../test_instances/final/random_ER/random_12_7_0.dimacs	0.16	12	12	8	726	726
../test_instances/final/random_ER/random_12_7_1.dimacs	0.02	12	12	4	726	726
../test_instances/final/random_ER/random_12_8_0.dimacs	0.27	12	12	7	726	726
../test_instances/final/random_ER/random_12_8_1.dimacs	0.03	12	12	5	726	726
../test_instances/final/random_ER/random_12_9_0.dimacs	0.02	12	12	2	726	726
../test_instances/final/random_ER/random_12_9_1.dimacs	0.02	12	12	1	726	726
../test_instances/final/random_ER/random_14_1_0.dimacs	0.00	14	10	1	1183	24
../test_instances/final/random_ER/random_14_1_1.dimacs	0.00	14	6	1	1183	13
../test_instances/final/random_ER/random_14_2_0.dimacs	0.01	14	13	4	1183	533
../test_instances/final/random_ER/random_14_2_1.dimacs	0.09	14	14	7	1183	847
../test_instances/final/random_ER/random_14_3_0.dimacs	0.27	14	14	9	1183	1015
../test_instances/final/random_ER/random_14_3_1.dimacs	0.40	14	14	13	1183	1183
../test_instances/final/random_ER/random_14_4_0.dimacs	0.44	14	14	12	1183	1183
../test_instances/final/random_ER/random_14_4_1.dimacs	0.10	14	14	8	1183	1183
../test_instances/final/random_ER/random_14_5_0.dimacs	0.36	14	14	12	1183	1183
../test_instances/final/random_ER/random_14_5_1.dimacs	0.35	14	14	12	1183	1183
../test_instances/final/random_ER/random_14_6_0.dimacs	0.54	14	14	12	1183	1183
../test_instances/final/random_ER/random_14_6_1.dimacs	0.36	14	14	11	1183	1183
../test_instances/final/random_ER/random_14_7_0.dimacs	0.18	14	14	9	1183	1183
../test_instances/final/random_ER/random_14_7_1.dimacs	0.13	14	14	8	1183	1183
../test_instances/final/random_ER/random_14_8_0.dimacs	0.06	14	14	7	1183	1183
../test_instances/final/random_ER/random_14_8_1.dimacs	0.14	14	14	8	1183	1183
../test_instances/final/random_ER/random_14_9_0.dimacs	0.26	14	14	7	1183	1183
../test_instances/final/random_ER/random_14_9_1.dimacs	0.03	14	14	3	1183	1183
../test_instances/final/random_ER/random_16_1_0.dimacs	0.00	16	6	1	1800	13
../test_instances/final/random_ER/random_16_1_1.dimacs	0.00	16	6	1	1800	4
../test_instances/final/random_ER/random_16_2_0.dimacs	0.11	16	16	8	1800	1367
../test_instances/final/random_ER/random_16_2_1.dimacs	0.04	16	14	5	1800	696
../test_instances/final/random_ER/random_16_3_0.dimacs	0.59	16	16	10	1800	1800
../test_instances/final/random_ER/random_16_3_1.dimacs	0.66	16	16	14	1800	1800
../test_instances/final/random_ER/random_16_4_0.dimacs	0.70	16	16	15	1800	1800
../test_instances/final/random_ER/random_16_4_1.dimacs	0.95	16	16	14	1800	1800
../test_instances/final/random_ER/random_16_5_0.dimacs	1.08	16	16	20	1800	1800
